Time step,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty
,dynamic,f=36,f=30,f=24,f=18,f=15,f=12
147,0.031351,0.127929,0.080802,0.035394,0.05093,0.128451,0.735027
148,0.02978,0.124093,0.077447,0.03325,0.048518,0.125546,0.733637
149,0.028287,0.120312,0.074348,0.031359,0.046235,0.122388,0.732065
150,0.026927,0.116454,0.071212,0.029594,0.044197,0.119442,0.73052
151,0.025762,0.11264,0.068199,0.027942,0.042337,0.116626,0.729086
152,0.024637,0.108859,0.065131,0.026357,0.040497,0.113802,0.727459
153,0.023644,0.10536,0.062202,0.024999,0.038715,0.111085,0.725921
154,0.022703,0.101925,0.059406,0.023784,0.037118,0.108489,0.724319
155,0.021771,0.098502,0.056647,0.022669,0.035589,0.105967,0.722893
156,0.020993,0.095329,0.054016,0.021693,0.034037,0.103564,0.721342
157,0.020161,0.092157,0.051568,0.020767,0.032608,0.101075,0.719761
158,0.019429,0.0892,0.049324,0.019955,0.031288,0.098673,0.718284
159,0.018733,0.086423,0.047108,0.019187,0.030072,0.096284,0.716841
160,0.018134,0.083677,0.045076,0.018492,0.028916,0.094006,0.715422
161,0.017587,0.081131,0.04323,0.017915,0.027809,0.091663,0.71411
162,0.017089,0.078589,0.041455,0.01738,0.026729,0.089397,0.712603
163,0.01662,0.076181,0.039888,0.016871,0.025753,0.08735,0.711096
164,0.016191,0.073492,0.038318,0.016421,0.024844,0.0852,0.709642
165,0.015784,0.071332,0.03689,0.016004,0.023979,0.083235,0.708263
166,0.015445,0.069047,0.035511,0.015589,0.023203,0.081258,0.706693
167,0.015099,0.066977,0.034224,0.015232,0.022463,0.079325,0.705142
168,0.014789,0.065024,0.033049,0.014887,0.021742,0.077428,0.703872
169,0.014486,0.063179,0.031959,0.014583,0.021061,0.075613,0.702534
170,0.014247,0.061224,0.030989,0.014327,0.020486,0.073871,0.701116
171,0.014008,0.059524,0.030048,0.014062,0.019905,0.072157,0.699733
172,0.013778,0.057949,0.029178,0.013818,0.019356,0.070467,0.698419
173,0.013594,0.056402,0.028364,0.013601,0.018868,0.06882,0.696972
174,0.013399,0.054933,0.027616,0.013396,0.018387,0.067235,0.695465
175,0.013212,0.053448,0.026922,0.013199,0.017931,0.065679,0.69414
176,0.013025,0.052038,0.026243,0.013012,0.017464,0.064166,0.692638
177,0.012848,0.0507,0.025602,0.012824,0.017049,0.062708,0.691175
178,0.012681,0.049469,0.024987,0.012663,0.016665,0.061341,0.689754
179,0.012531,0.048234,0.024452,0.012521,0.016291,0.059979,0.688476
180,0.012402,0.047015,0.02391,0.012395,0.015947,0.058653,0.687111
181,0.012266,0.04595,0.023392,0.012271,0.015623,0.05739,0.685593
182,0.012144,0.044809,0.022837,0.012153,0.015325,0.056142,0.684201
183,0.012024,0.043736,0.022366,0.012049,0.015054,0.054951,0.682826
184,0.011921,0.042816,0.021902,0.011963,0.014792,0.053769,0.681307
185,0.011819,0.041918,0.021424,0.011871,0.014543,0.052586,0.679952
186,0.011724,0.041035,0.021053,0.011781,0.014292,0.051454,0.678614
187,0.011641,0.040254,0.020624,0.011705,0.014076,0.050346,0.677189
188,0.011545,0.039467,0.020186,0.011628,0.013868,0.049242,0.675708
189,0.011463,0.03869,0.019792,0.011556,0.013661,0.048152,0.674304
190,0.011391,0.037898,0.019361,0.011484,0.013468,0.047115,0.672956
191,0.011323,0.037096,0.018993,0.011416,0.013285,0.046147,0.671694
192,0.011264,0.036395,0.018573,0.01136,0.013128,0.045142,0.670214
193,0.011205,0.035694,0.018241,0.011307,0.012967,0.044203,0.668848
194,0.011154,0.034989,0.01792,0.01126,0.012834,0.043291,0.667496
195,0.011101,0.034265,0.017583,0.011214,0.012681,0.042425,0.666042
196,0.011057,0.033572,0.017271,0.011168,0.012543,0.041577,0.664615
197,0.011014,0.032884,0.016991,0.01113,0.012417,0.040738,0.663163
198,0.010972,0.032132,0.016713,0.011095,0.012299,0.039935,0.661654
199,0.010936,0.031398,0.016436,0.011057,0.012185,0.039122,0.660198
200,0.010905,0.030669,0.016206,0.011023,0.012083,0.038365,0.658862
201,0.010875,0.029923,0.015971,0.010997,0.011982,0.03761,0.657525
202,0.010844,0.029175,0.015699,0.01097,0.01189,0.03687,0.656308
203,0.010816,0.028477,0.015454,0.010944,0.011798,0.036111,0.654973
204,0.010791,0.027772,0.015211,0.010917,0.011708,0.035377,0.653635
205,0.010769,0.027147,0.015003,0.010895,0.011626,0.034721,0.652297
206,0.010743,0.0266,0.014808,0.010873,0.011553,0.034089,0.651063
207,0.010723,0.026035,0.0146,0.010854,0.011482,0.03342,0.649768
208,0.010703,0.025524,0.014413,0.010834,0.011414,0.032806,0.648524
209,0.010685,0.025033,0.014254,0.010815,0.01135,0.032197,0.64717
210,0.010671,0.02458,0.014099,0.010797,0.011292,0.031579,0.645756
211,0.010655,0.02418,0.013952,0.01078,0.011234,0.031032,0.644485
212,0.010638,0.02383,0.013799,0.010763,0.01118,0.030496,0.643139
213,0.010625,0.023487,0.013674,0.01075,0.011128,0.029933,0.641782
214,0.01061,0.02316,0.013534,0.010736,0.011083,0.029389,0.640434
215,0.010596,0.022851,0.01343,0.010724,0.011043,0.028837,0.639179
216,0.010583,0.022556,0.01333,0.01071,0.010996,0.028346,0.637875
217,0.010569,0.02226,0.013233,0.010699,0.010952,0.02784,0.636563
218,0.010558,0.021982,0.013139,0.010689,0.01091,0.027383,0.635259
219,0.010548,0.021724,0.013043,0.010677,0.010872,0.02692,0.633946
220,0.010538,0.02147,0.012952,0.01067,0.010838,0.02645,0.632519
221,0.010529,0.021208,0.012882,0.010659,0.010805,0.026013,0.631231
222,0.010518,0.020976,0.0128,0.01065,0.01078,0.025579,0.629914
223,0.010509,0.020751,0.012736,0.010641,0.010746,0.025172,0.628696
224,0.010501,0.020526,0.012658,0.010633,0.01072,0.024771,0.627386
225,0.010492,0.020282,0.012592,0.010623,0.010696,0.024373,0.626234
226,0.010482,0.020066,0.012536,0.010615,0.010674,0.024006,0.624973
227,0.010476,0.019856,0.012471,0.010609,0.010653,0.023632,0.623644
228,0.010467,0.019654,0.012409,0.010602,0.010634,0.023268,0.622404
229,0.010462,0.019449,0.012346,0.010594,0.010613,0.022923,0.621165
230,0.010456,0.01926,0.012289,0.010589,0.010595,0.022588,0.619969
231,0.01045,0.019076,0.012244,0.010582,0.010573,0.022252,0.618641
232,0.010444,0.01889,0.012189,0.010576,0.010558,0.021926,0.617359
233,0.010439,0.018732,0.012141,0.010569,0.010546,0.02161,0.616123
234,0.010433,0.018556,0.012097,0.010566,0.01053,0.02131,0.614764
235,0.010428,0.018393,0.012058,0.010559,0.010512,0.021,0.613491
236,0.010423,0.01823,0.012014,0.010556,0.010497,0.020695,0.612134
237,0.010421,0.018074,0.011976,0.010552,0.010483,0.020406,0.610946
238,0.010415,0.017932,0.01194,0.010547,0.01047,0.020129,0.609777
239,0.010411,0.017791,0.011904,0.010543,0.010463,0.01985,0.608594
240,0.010405,0.017655,0.011869,0.010539,0.010448,0.019583,0.607318
241,0.010402,0.017513,0.011832,0.010535,0.01044,0.019339,0.606113
242,0.010399,0.017369,0.011797,0.01053,0.01043,0.019073,0.604753
243,0.010395,0.017235,0.011768,0.010527,0.010422,0.018825,0.603507
244,0.01039,0.017108,0.011734,0.010525,0.01041,0.01858,0.602119
245,0.010387,0.016987,0.011707,0.01052,0.010402,0.018357,0.601014
246,0.010384,0.016868,0.011677,0.010518,0.010396,0.018107,0.599783
247,0.010382,0.01675,0.011649,0.010515,0.010386,0.017888,0.59839
248,0.01038,0.016647,0.011626,0.010511,0.010377,0.017658,0.597197
249,0.010376,0.016534,0.0116,0.010508,0.01037,0.017437,0.59593
250,0.010373,0.016422,0.011577,0.010504,0.010363,0.017235,0.594506
251,0.010371,0.016311,0.011556,0.0105,0.010358,0.017043,0.593416
252,0.010367,0.016202,0.011533,0.010496,0.010351,0.016845,0.592259
253,0.010364,0.016093,0.011514,0.010492,0.010345,0.016646,0.591013
254,0.010361,0.015994,0.011493,0.010489,0.010335,0.016474,0.58982
255,0.01036,0.015902,0.011474,0.010487,0.010329,0.016296,0.58864
256,0.010356,0.0158,0.011457,0.010485,0.010325,0.016129,0.587307
257,0.010353,0.015703,0.011438,0.01048,0.010321,0.015955,0.586041
