Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
217	0.010566	0.016841	0.011706	0.010519	0.011334	0.049499	0.853582
218	0.010554	0.016619	0.011665	0.010506	0.011279	0.048688	0.853026
219	0.010541	0.01641	0.011629	0.010492	0.011226	0.047844	0.852504
220	0.010528	0.016209	0.011596	0.010482	0.011174	0.047053	0.85205
221	0.010516	0.016046	0.011563	0.010475	0.011125	0.046274	0.851475
222	0.01051	0.015858	0.011532	0.010462	0.011085	0.0455	0.851056
223	0.010502	0.01571	0.011502	0.010451	0.011041	0.044754	0.85044
224	0.010493	0.015562	0.011474	0.010442	0.011001	0.04402	0.850003
225	0.010484	0.015425	0.011449	0.010432	0.010963	0.043313	0.849442
226	0.010476	0.015299	0.011425	0.010422	0.010926	0.042575	0.84877
227	0.010468	0.015172	0.011401	0.010413	0.010895	0.04188	0.848238
228	0.010459	0.015058	0.011378	0.010407	0.010863	0.041173	0.847645
229	0.010451	0.014933	0.011351	0.0104	0.01083	0.040512	0.847124
230	0.010446	0.014826	0.011328	0.010393	0.010802	0.039826	0.846587
231	0.010437	0.014716	0.011304	0.010388	0.010774	0.0392	0.846033
232	0.010431	0.014621	0.011282	0.010382	0.010748	0.038589	0.845537
233	0.010425	0.014526	0.011261	0.010377	0.010725	0.037965	0.845117
234	0.01042	0.014437	0.011241	0.010373	0.0107	0.037378	0.844605
235	0.010414	0.014347	0.011223	0.010365	0.010677	0.036819	0.844004
236	0.01041	0.014262	0.011208	0.010361	0.010653	0.036233	0.843438
237	0.010406	0.01418	0.011191	0.010355	0.010631	0.035671	0.842844
238	0.010399	0.014101	0.011179	0.010352	0.010616	0.03513	0.842314
239	0.010393	0.014018	0.011161	0.010348	0.010596	0.034589	0.841836
240	0.010389	0.013942	0.011148	0.010341	0.010582	0.034098	0.841225
241	0.010386	0.013862	0.011131	0.010339	0.01057	0.033605	0.84067
242	0.010381	0.013795	0.011118	0.010338	0.010554	0.033115	0.840215
243	0.010376	0.013727	0.011104	0.010334	0.010539	0.032622	0.839672
244	0.010372	0.01366	0.011091	0.01033	0.010524	0.032164	0.839078
245	0.01037	0.0136	0.011078	0.010326	0.010509	0.031695	0.838554
246	0.010367	0.013544	0.011066	0.010323	0.010494	0.031239	0.838034
247	0.010363	0.013484	0.011055	0.01032	0.010482	0.030788	0.837516
248	0.01036	0.013427	0.011046	0.01032	0.010467	0.030352	0.837
249	0.010355	0.013369	0.011036	0.010317	0.010455	0.029894	0.836427
250	0.010352	0.013318	0.011026	0.010313	0.010444	0.029457	0.835859
251	0.010349	0.013273	0.011016	0.010311	0.010433	0.029023	0.83532
252	0.010346	0.013227	0.011005	0.01031	0.010424	0.028629	0.834763
253	0.010345	0.013181	0.010995	0.010309	0.010411	0.028232	0.834295
254	0.010341	0.013141	0.010984	0.01031	0.010405	0.027827	0.83378
255	0.010337	0.013095	0.010973	0.010305	0.010399	0.027427	0.83328
256	0.010334	0.013059	0.010966	0.010304	0.010389	0.027074	0.832786
257	0.010332	0.013018	0.010957	0.0103	0.010379	0.026727	0.832283
258	0.010331	0.012978	0.010948	0.010297	0.010374	0.026373	0.831814
259	0.010327	0.012939	0.01094	0.010296	0.010365	0.026019	0.831354
260	0.010328	0.012907	0.010934	0.010295	0.010357	0.025679	0.830903
261	0.010327	0.012874	0.010924	0.010294	0.010352	0.025354	0.830374
262	0.010324	0.012842	0.010918	0.010293	0.010344	0.025057	0.829787
263	0.010321	0.012812	0.01091	0.010292	0.010336	0.024744	0.829247
264	0.01032	0.012783	0.010906	0.010289	0.01033	0.024422	0.828816
265	0.010319	0.012755	0.010898	0.010289	0.010327	0.024119	0.828312
266	0.010317	0.012729	0.01089	0.010289	0.010321	0.023798	0.827845
267	0.010316	0.012705	0.010882	0.010286	0.010316	0.023495	0.827342
268	0.010314	0.012679	0.010875	0.010285	0.01031	0.023211	0.826805
269	0.010312	0.01265	0.010871	0.010286	0.01031	0.022928	0.82623
270	0.01031	0.012624	0.010866	0.010283	0.010306	0.022654	0.825681
271	0.010307	0.012602	0.010862	0.010281	0.010301	0.022382	0.825201
272	0.010305	0.012576	0.010859	0.01028	0.010297	0.022129	0.824696
273	0.010303	0.012551	0.010853	0.01028	0.010295	0.021879	0.824184
274	0.010301	0.012525	0.010848	0.010278	0.010293	0.021629	0.823725
275	0.010301	0.012502	0.010844	0.010276	0.010288	0.021383	0.823205
276	0.010301	0.012479	0.01084	0.010273	0.010286	0.02114	0.822673
277	0.010298	0.012454	0.010835	0.010272	0.010285	0.020888	0.822231
278	0.010297	0.012427	0.01083	0.01027	0.010284	0.020666	0.821767
279	0.010296	0.0124	0.010828	0.010268	0.010282	0.020439	0.82114
280	0.010293	0.012373	0.010823	0.010268	0.010279	0.020222	0.820531
