Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
226	0.010476	0.010482	0.010619	0.010886
227	0.010468	0.010476	0.010608	0.010873
228	0.010459	0.010467	0.010596	0.010858
229	0.010451	0.010462	0.010586	0.010848
230	0.010446	0.010456	0.010575	0.010838
231	0.010437	0.01045	0.010565	0.010828
232	0.010431	0.010444	0.010555	0.010816
233	0.010425	0.010439	0.010547	0.010807
234	0.01042	0.010433	0.010537	0.010799
235	0.010414	0.010428	0.010527	0.010789
236	0.01041	0.010423	0.01052	0.010778
237	0.010406	0.010421	0.010513	0.010771
238	0.010399	0.010415	0.010505	0.010765
239	0.010393	0.010411	0.010497	0.010755
240	0.010389	0.010405	0.010491	0.010747
241	0.010386	0.010402	0.010485	0.010737
242	0.010381	0.010399	0.01048	0.010732
243	0.010376	0.010395	0.010476	0.010727
244	0.010372	0.01039	0.010472	0.010717
245	0.01037	0.010387	0.010468	0.010708
246	0.010367	0.010384	0.010465	0.0107
247	0.010363	0.010382	0.010463	0.010694
248	0.01036	0.01038	0.01046	0.010684
249	0.010355	0.010376	0.010456	0.010676
250	0.010352	0.010373	0.010454	0.010667
251	0.010349	0.010371	0.010449	0.010657
252	0.010346	0.010367	0.010444	0.01065
253	0.010345	0.010364	0.010443	0.010638
254	0.010341	0.010361	0.010439	0.010627
255	0.010337	0.01036	0.010436	0.010617
256	0.010334	0.010356	0.010432	0.010607
257	0.010332	0.010353	0.010432	0.010599
258	0.010331	0.010353	0.010428	0.010592
259	0.010327	0.010352	0.010424	0.010582
260	0.010328	0.010348	0.010421	0.010574
261	0.010327	0.010347	0.010415	0.010566
262	0.010324	0.010345	0.010414	0.01056
263	0.010321	0.010343	0.010411	0.010552
264	0.01032	0.010342	0.010409	0.010545
265	0.010319	0.01034	0.010407	0.010539
266	0.010317	0.010339	0.010404	0.010534
267	0.010316	0.010336	0.010401	0.010529
268	0.010314	0.010334	0.010397	0.010523
269	0.010312	0.010332	0.010393	0.010521
270	0.01031	0.010328	0.010389	0.010515
271	0.010307	0.010325	0.010387	0.010508
272	0.010305	0.010324	0.010384	0.010503
273	0.010303	0.010323	0.010381	0.010498
274	0.010301	0.010321	0.010378	0.010493
275	0.010301	0.010318	0.010375	0.010488
276	0.010301	0.010319	0.010373	0.010484
